timestamp,ghi,dni,dhi,temp_air,wind_speed,humidity,cloud_cover,pressure,capacity_kw,latitude,longitude,generation_kw
2024-01-01 00:00:00+05:30,0.0,0.0,0.0,11.0,11.2,90.0,85.0,997.0,100,27.5667,72.0667,0.0
2024-01-01 01:00:00+05:30,0.0,0.0,0.0,10.6,11.5,91.0,29.0,996.9,100,27.5667,72.0667,0.0
2024-01-01 02:00:00+05:30,0.0,0.0,0.0,9.8,11.2,93.0,0.0,996.5,100,27.5667,72.0667,0.0
2024-01-01 03:00:00+05:30,0.0,0.0,0.0,9.1,11.3,95.0,0.0,996.4,100,27.5667,72.0667,0.0
2024-01-01 04:00:00+05:30,0.0,0.0,0.0,8.6,11.1,95.0,0.0,996.3,100,27.5667,72.0667,0.0
2024-01-01 05:00:00+05:30,0.0,0.0,0.0,8.1,10.5,95.0,0.0,996.4,100,27.5667,72.0667,0.0
2024-01-01 06:00:00+05:30,0.0,0.0,0.0,7.4,9.4,96.0,0.0,997.1,100,27.5667,72.0667,0.0
2024-01-01 07:00:00+05:30,0.0,0.0,0.0,6.9,9.5,97.0,0.0,997.7,100,27.5667,72.0667,0.0
2024-01-01 08:00:00+05:30,42.0,116.8,29.0,7.8,8.7,94.0,0.0,998.3,100,27.5667,72.0667,5.6801504672295025
2024-01-01 09:00:00+05:30,196.0,387.8,91.0,9.8,6.9,85.0,0.0,999.1,100,27.5667,72.0667,28.434439998033987
2024-01-01 10:00:00+05:30,368.0,560.0,127.0,12.5,7.8,74.0,0.0,999.6,100,27.5667,72.0667,50.78820262335287
2024-01-01 11:00:00+05:30,507.0,658.4,146.0,15.3,10.2,61.0,0.0,999.1,100,27.5667,72.0667,65.58294006710973
2024-01-01 12:00:00+05:30,591.0,705.5,156.0,17.4,11.2,49.0,0.0,997.9,100,27.5667,72.0667,75.01619117152863
2024-01-01 13:00:00+05:30,609.0,718.5,156.0,19.1,13.0,41.0,0.0,996.7,100,27.5667,72.0667,77.24833107704106
2024-01-01 14:00:00+05:30,559.0,695.9,149.0,20.1,15.3,36.0,0.0,995.8,100,27.5667,72.0667,71.98151412604145
2024-01-01 15:00:00+05:30,447.0,629.9,135.0,20.5,16.7,35.0,0.0,995.4,100,27.5667,72.0667,58.81042585585055
2024-01-01 16:00:00+05:30,287.0,503.5,108.0,20.1,17.5,36.0,0.0,995.2,100,27.5667,72.0667,40.10922044557552
2024-01-01 17:00:00+05:30,113.0,279.2,63.0,18.9,15.2,41.0,0.0,995.2,100,27.5667,72.0667,16.398479737593753
2024-01-01 18:00:00+05:30,7.0,16.2,6.0,15.5,13.6,54.0,0.0,996.2,100,27.5667,72.0667,0.23561266009914364
2024-01-01 19:00:00+05:30,0.0,0.0,0.0,14.1,13.2,61.0,0.0,997.0,100,27.5667,72.0667,0.0
2024-01-01 20:00:00+05:30,0.0,0.0,0.0,13.0,13.3,66.0,0.0,997.4,100,27.5667,72.0667,0.0
2024-01-01 21:00:00+05:30,0.0,0.0,0.0,12.1,14.0,71.0,0.0,997.6,100,27.5667,72.0667,0.0
2024-01-01 22:00:00+05:30,0.0,0.0,0.0,11.2,13.6,76.0,0.0,997.6,100,27.5667,72.0667,0.0
2024-01-01 23:00:00+05:30,0.0,0.0,0.0,10.3,12.6,81.0,0.0,997.2,100,27.5667,72.0667,0.0
2024-01-02 00:00:00+05:30,0.0,0.0,0.0,9.5,12.3,85.0,0.0,996.8,100,27.5667,72.0667,0.0
2024-01-02 01:00:00+05:30,0.0,0.0,0.0,8.8,11.5,89.0,0.0,996.4,100,27.5667,72.0667,0.0
2024-01-02 02:00:00+05:30,0.0,0.0,0.0,8.2,10.6,92.0,0.0,996.0,100,27.5667,72.0667,0.0
2024-01-02 03:00:00+05:30,0.0,0.0,0.0,7.7,10.5,93.0,0.0,995.7,100,27.5667,72.0667,0.0
2024-01-02 04:00:00+05:30,0.0,0.0,0.0,7.2,10.2,94.0,0.0,995.7,100,27.5667,72.0667,0.0
2024-01-02 05:00:00+05:30,0.0,0.0,0.0,6.7,10.0,95.0,0.0,995.6,100,27.5667,72.0667,0.0
2024-01-02 06:00:00+05:30,0.0,0.0,0.0,6.5,10.0,96.0,0.0,996.0,100,27.5667,72.0667,0.0
2024-01-02 07:00:00+05:30,0.0,0.0,0.0,6.1,10.0,96.0,0.0,996.8,100,27.5667,72.0667,0.0
2024-01-02 08:00:00+05:30,43.0,126.1,29.0,6.9,9.4,94.0,0.0,997.1,100,27.5667,72.0667,6.103366945789501
2024-01-02 09:00:00+05:30,198.0,396.0,91.0,9.0,7.6,84.0,0.0,998.1,100,27.5667,72.0667,28.920220218611988
2024-01-02 10:00:00+05:30,372.0,571.8,126.0,11.4,6.8,73.0,0.0,998.5,100,27.5667,72.0667,50.919290609262184
2024-01-02 11:00:00+05:30,512.0,667.2,146.0,14.1,6.3,61.0,0.0,997.8,100,27.5667,72.0667,65.70478298149945
2024-01-02 12:00:00+05:30,597.0,716.0,155.0,16.4,6.9,50.0,0.0,996.7,100,27.5667,72.0667,74.46168119490964
2024-01-02 13:00:00+05:30,615.0,726.6,156.0,18.3,9.0,43.0,0.0,995.7,100,27.5667,72.0667,76.80095560938045
2024-01-02 14:00:00+05:30,565.0,700.7,151.0,19.7,12.3,36.0,0.0,994.9,100,27.5667,72.0667,71.52068960387714
2024-01-02 15:00:00+05:30,452.0,637.4,135.0,20.3,15.0,33.0,0.0,994.4,100,27.5667,72.0667,57.6813499411475
2024-01-02 16:00:00+05:30,292.0,511.5,109.0,20.0,16.1,34.0,0.0,994.4,100,27.5667,72.0667,40.67098308035394
2024-01-02 17:00:00+05:30,116.0,286.5,64.0,18.9,13.5,38.0,0.0,994.5,100,27.5667,72.0667,17.262406287536937
2024-01-02 18:00:00+05:30,7.0,15.9,6.0,15.6,13.5,53.0,0.0,995.1,100,27.5667,72.0667,0.2368708000203337
2024-01-02 19:00:00+05:30,0.0,0.0,0.0,14.3,13.5,60.0,0.0,995.6,100,27.5667,72.0667,0.0
2024-01-02 20:00:00+05:30,0.0,0.0,0.0,13.2,13.2,66.0,0.0,995.9,100,27.5667,72.0667,0.0
2024-01-02 21:00:00+05:30,0.0,0.0,0.0,12.3,13.5,70.0,0.0,996.1,100,27.5667,72.0667,0.0
2024-01-02 22:00:00+05:30,0.0,0.0,0.0,11.5,13.9,74.0,0.0,996.2,100,27.5667,72.0667,0.0
2024-01-02 23:00:00+05:30,0.0,0.0,0.0,10.6,13.9,78.0,0.0,995.9,100,27.5667,72.0667,0.0
2024-01-03 00:00:00+05:30,0.0,0.0,0.0,9.8,13.4,82.0,0.0,995.6,100,27.5667,72.0667,0.0
2024-01-03 01:00:00+05:30,0.0,0.0,0.0,9.0,12.2,86.0,0.0,995.3,100,27.5667,72.0667,0.0
2024-01-03 02:00:00+05:30,0.0,0.0,0.0,8.3,11.2,89.0,0.0,995.0,100,27.5667,72.0667,0.0
2024-01-03 03:00:00+05:30,0.0,0.0,0.0,7.5,9.4,91.0,0.0,994.8,100,27.5667,72.0667,0.0
2024-01-03 04:00:00+05:30,0.0,0.0,0.0,6.6,7.8,93.0,0.0,994.8,100,27.5667,72.0667,0.0
2024-01-03 05:00:00+05:30,0.0,0.0,0.0,6.1,8.7,94.0,0.0,994.9,100,27.5667,72.0667,0.0
2024-01-03 06:00:00+05:30,0.0,0.0,0.0,5.8,9.5,95.0,0.0,995.7,100,27.5667,72.0667,0.0
2024-01-03 07:00:00+05:30,0.0,0.0,0.0,5.5,10.2,95.0,0.0,996.4,100,27.5667,72.0667,0.0
2024-01-03 08:00:00+05:30,42.0,126.5,28.0,6.3,9.9,91.0,0.0,997.1,100,27.5667,72.0667,5.812118053203456
2024-01-03 09:00:00+05:30,198.0,396.6,91.0,8.5,9.4,79.0,0.0,998.0,100,27.5667,72.0667,29.456413652542828
2024-01-03 10:00:00+05:30,372.0,571.9,126.0,11.6,10.0,66.0,0.0,998.5,100,27.5667,72.0667,51.159851090234206
2024-01-03 11:00:00+05:30,513.0,670.3,145.0,14.8,11.6,54.0,0.0,997.9,100,27.5667,72.0667,67.42499501508956
2024-01-03 12:00:00+05:30,599.0,718.2,155.0,17.4,12.4,44.0,0.0,996.7,100,27.5667,72.0667,77.22085422104823
2024-01-03 13:00:00+05:30,618.0,729.8,156.0,19.3,12.9,36.0,0.0,995.6,100,27.5667,72.0667,77.41507444607343
2024-01-03 14:00:00+05:30,569.0,707.1,150.0,20.4,13.1,31.0,0.0,995.0,100,27.5667,72.0667,73.56893136654442
2024-01-03 15:00:00+05:30,456.0,644.7,134.0,20.7,14.5,29.0,0.0,994.5,100,27.5667,72.0667,62.00674506832408
2024-01-03 16:00:00+05:30,295.0,516.5,109.0,20.3,16.1,30.0,0.0,994.5,100,27.5667,72.0667,40.92405005179194
2024-01-03 17:00:00+05:30,119.0,293.6,65.0,19.1,14.5,33.0,0.0,994.6,100,27.5667,72.0667,17.16730745520541
2024-01-03 18:00:00+05:30,8.0,15.6,7.0,15.7,14.3,49.0,0.0,995.0,100,27.5667,72.0667,0.34065227235184276
2024-01-03 19:00:00+05:30,0.0,0.0,0.0,14.3,14.8,55.0,0.0,995.4,100,27.5667,72.0667,0.0
2024-01-03 20:00:00+05:30,0.0,0.0,0.0,13.0,13.8,62.0,0.0,996.1,100,27.5667,72.0667,0.0
2024-01-03 21:00:00+05:30,0.0,0.0,0.0,11.9,14.1,69.0,0.0,996.8,100,27.5667,72.0667,0.0
2024-01-03 22:00:00+05:30,0.0,0.0,0.0,10.9,14.3,74.0,0.0,997.0,100,27.5667,72.0667,0.0
2024-01-03 23:00:00+05:30,0.0,0.0,0.0,10.0,14.4,79.0,0.0,996.8,100,27.5667,72.0667,0.0
