timestamp,wind_speed,wind_direction,temperature,pressure,generation_kw,rated_capacity_kw
2024-01-01 00:00:00+05:30,22.4,45.0,25.6,1008.6,97.9318351641129,100
2024-01-01 01:00:00+05:30,24.5,43.0,25.3,1007.5,100.0,100
2024-01-01 02:00:00+05:30,25.6,39.0,25.0,1007.0,0.039072886196133666,100
2024-01-01 03:00:00+05:30,23.6,38.0,24.8,1006.9,99.44120009276212,100
2024-01-01 04:00:00+05:30,24.0,40.0,25.0,1007.1,100.0,100
2024-01-01 05:00:00+05:30,23.5,36.0,25.0,1007.6,100.0,100
2024-01-01 06:00:00+05:30,23.3,39.0,24.8,1008.7,98.05687016274808,100
2024-01-01 07:00:00+05:30,23.6,38.0,25.1,1009.6,99.71093869136011,100
2024-01-01 08:00:00+05:30,24.1,35.0,26.2,1010.5,99.13873510111722,100
2024-01-01 09:00:00+05:30,25.3,40.0,27.1,1010.7,0.020860197072792793,100
2024-01-01 10:00:00+05:30,25.7,42.0,27.6,1010.4,0.5681623212328317,100
2024-01-01 11:00:00+05:30,25.2,37.0,28.6,1009.4,1.8877771001850472,100
2024-01-01 12:00:00+05:30,23.1,39.0,29.4,1008.6,100.0,100
2024-01-01 13:00:00+05:30,21.7,40.0,29.8,1007.5,99.95365432507788,100
2024-01-01 14:00:00+05:30,19.5,52.0,29.8,1006.5,100.0,100
2024-01-01 15:00:00+05:30,18.4,62.0,29.0,1006.2,100.0,100
2024-01-01 16:00:00+05:30,21.4,63.0,28.8,1006.0,100.0,100
2024-01-01 17:00:00+05:30,20.9,58.0,27.8,1006.2,97.83908740404227,100
2024-01-01 18:00:00+05:30,20.1,66.0,26.9,1007.7,99.0587263134893,100
2024-01-01 19:00:00+05:30,24.0,64.0,26.4,1008.5,100.0,100
2024-01-01 20:00:00+05:30,24.5,62.0,26.1,1009.2,96.11932239394315,100
2024-01-01 21:00:00+05:30,25.1,61.0,26.1,1009.5,0.024081840267238384,100
2024-01-01 22:00:00+05:30,24.4,53.0,25.9,1009.2,100.0,100
2024-01-01 23:00:00+05:30,24.5,50.0,25.7,1008.9,100.0,100
2024-01-02 00:00:00+05:30,25.5,50.0,25.6,1008.3,1.7526603877935765,100
2024-01-02 01:00:00+05:30,26.8,48.0,25.4,1007.5,0.0,100
